seller_nickname,stock_total,precio_promedio,logistic_type_unique,pct_new,pct_refurbished,categorias_unicas,price_capped,stock_capped,price_log,stock_log,cluster
ecfd6cd793,67,219.7,1,1.0,0.0,2,219.7,67.0,5.396804313262691,4.219507705176107,0
ed017c0d03,55,798.17,1,1.0,0.0,3,798.17,55.0,6.683573689092255,4.02535169073515,0
ed02b52dab,8,269.1,1,1.0,0.0,1,269.1,8.0,5.59879226079857,2.19722457733622,0
ed05561b86,16,298.0,1,1.0,0.0,1,298.0,16.0,5.700443573390687,2.833213344056216,0
ed05e0f143,107,938.5,1,1.0,0.0,1,938.5,107.0,6.84534781885352,4.68213122712422,0
ed0bed7bc2,1,30000.0,1,0.0,0.0,1,30000.0,1.0,10.308985993422082,0.6931471805599453,2
ed0c58f973,6,379.9,1,1.0,0.0,1,379.9,6.0,5.942536873484558,1.9459101490553128,0
ed0c9619d8,0,600.0,1,0.0,0.0,1,600.0,0.0,6.398594934535208,0.0,2
ed0c9abcc8,1,20000.0,1,0.0,0.0,1,20000.0,1.0,9.90353755128617,0.6931471805599453,2
ed0dcd10c3,1,2250.0,1,0.0,0.0,1,2250.0,1.0,7.719129840906732,0.6931471805599453,2
ed0fe30dca,57,1298.0,1,1.0,0.0,1,1298.0,57.0,7.1693500166706,4.060443010546419,0
ed1181db16,19,53.45,1,1.0,0.0,1,53.45,19.0,3.9972828493789696,2.995732273553991,0
ed13a35b3a,14,542.5,1,1.0,0.0,2,542.5,14.0,6.298029706561264,2.70805020110221,0
ed146d21c0,2,504.0,1,0.0,0.0,1,504.0,2.0,6.22455842927536,1.0986122886681098,2
ed16cb7f77,19,395.0,1,1.0,1.0,1,395.0,19.0,5.981414211254481,2.995732273553991,4
ed18df8a00,15329,499.9769230769231,1,1.0,0.0,6,499.9769230769231,15329.0,6.2165600383012825,9.63756697186586,0
ed1982890c,998,471.02,1,1.0,0.0,1,471.02,998.0,6.157021357569206,6.906754778648554,0
ed1a9dce48,70,232.0,1,1.0,0.0,1,232.0,70.0,5.4510384535657,4.262679877041316,0
ed1b9d153d,30,118.8,1,1.0,0.0,1,118.8,30.0,4.785823685681349,3.4339872044851463,0
ed1e1ebd3f,10,35.0,1,1.0,0.0,1,35.0,10.0,3.58351893845611,2.3978952727983707,0
ed1f264254,5,7499.5,1,1.0,0.0,1,7499.5,5.0,8.922724963968944,1.791759469228055,0
ed21cb1f5c,46,159.31,1,1.0,0.0,1,159.31,46.0,5.077109440701582,3.8501476017100575,0
ed2361fc7d,5,399.0,1,1.0,0.0,1,399.0,5.0,5.991464547107982,1.791759469228055,0
ed23680b04,29517,449.0,1,1.0,0.0,2,449.0,19509.350000000013,6.1092475827643655,9.878700372974444,0
ed239b3a4a,0,1799.99,1,1.0,0.0,1,1799.99,0.0,7.4960917926896915,0.0,0
ed276d9f8a,4,24900.0,1,1.0,0.0,1,24900.0,4.0,10.122663242288953,1.6094379124341005,0
ed2a936b8f,80,159.0,1,0.0,0.0,1,159.0,80.0,5.075173815233827,4.394449154672439,2
ed2d6c83a9,2,235.0,1,1.0,0.0,2,235.0,2.0,5.4638318050256105,1.0986122886681098,0
ed2eaaa107,950,512.9200000000001,2,1.0,0.0,6,512.9200000000001,950.0,6.242067611318342,6.85751406254539,1
ed2ef79204,938,161.17948717948718,2,1.0,0.0,5,161.17948717948718,938.0,5.088703667466074,6.844815479208263,1
ed31e6931d,20,2779.0,1,1.0,0.0,1,2779.0,20.0,7.930206206684683,3.044522437723423,0
