seller_nickname,stock_total,precio_promedio,logistic_type_unique,pct_new,pct_refurbished,categorias_unicas,price_capped,stock_capped,price_log,stock_log
cf47af8ae2,1,395.0,1,1.0,0.0,1,395.0,1.0,5.981414211254481,0.6931471805599453
cf495ebe1f,1,2249.1,1,1.0,0.0,1,2249.1,1.0,7.718729938655285,0.6931471805599453
cf4b0eb466,23277,724.7175,1,1.0,0.0,4,724.7175,19509.350000000013,6.587160820641264,9.878700372974443
cf4b5b0464,25,1243.2350000000001,1,1.0,0.0,2,1243.2350000000001,25.0,7.126276162210902,3.258096538021482
cf4bc2ceda,6,1514.0,1,0.0,0.0,1,1514.0,6.0,7.323170717943469,1.9459101490553132
cf4d5d3935,29,202.02,1,1.0,0.0,1,202.02,29.0,5.313304496356285,3.4011973816621555
cf4d805764,1,926.49,1,1.0,0.0,1,926.49,1.0,6.832482012752308,0.6931471805599453
cf4fc08910,1,4609.0,1,1.0,0.0,1,4609.0,1.0,8.435983135990694,0.6931471805599453
cf503a13c8,652,756.8466666666667,1,1.0,0.0,2,756.8466666666667,652.0,6.630481078460217,6.481577129276431
cf50eea92c,7,4105.333333333333,1,1.0,0.0,1,4105.333333333333,7.0,8.320285776293865,2.0794415416798357
cf51f386bf,1,749.0,1,1.0,0.0,1,749.0,1.0,6.620073206530356,0.6931471805599453
cf529530c3,10,,1,1.0,0.0,1,,10.0,,2.3978952727983707
cf53fc07c3,1617,3587.25,1,1.0,0.0,2,3587.25,1617.0,8.18541989745149,7.388946097618437
cf54702fb6,31,154.42000000000002,1,1.0,0.0,2,154.42000000000002,31.0,5.046131129781096,3.4657359027997265
cf5846852f,1,5000.0,1,0.0,0.0,1,5000.0,1.0,8.517393171418904,0.6931471805599453
cf58efdd90,9,180.0,1,1.0,0.0,1,180.0,9.0,5.198497031265826,2.302585092994046
cf59697af3,4,1172.5,1,0.0,0.0,1,1172.5,4.0,7.067746015291078,1.6094379124341003
cf598eca71,4,392.6666666666667,1,0.0,0.0,1,392.6666666666667,4.0,5.975504527529253,1.6094379124341003
cf5ac73c2e,90,1585.0,1,1.0,0.0,1,1585.0,90.0,7.368970402194793,4.51085950651685
cf5bafbad5,1758,680.0,1,1.0,0.0,2,680.0,1758.0,6.523562306149512,7.472500744737558
cf5dda3d84,4,299.0,1,1.0,0.0,1,299.0,4.0,5.703782474656201,1.6094379124341003
cf5f2091a5,11,328.105,1,1.0,0.0,2,328.105,11.0,5.796376848784353,2.4849066497880004
cf64a9acf4,1,179.0,1,0.0,0.0,1,179.0,1.0,5.19295685089021,0.6931471805599453
cf66f810e3,6,1104.5,1,1.0,0.0,1,1104.5,6.0,7.008053000297501,1.9459101490553132
cf69c1c56d,103,2256.135,2,1.0,0.0,5,2256.135,103.0,7.721851588941028,4.6443908991413725
cf6af08b78,3,55966.666666666664,2,0.0,0.0,1,55966.666666666664,3.0,10.932529422016335,1.3862943611198906
cf6bf2ccdf,1,1099.0,1,0.0,0.0,1,1099.0,1.0,7.003065458786462,0.6931471805599453
cf6c10e6fe,2295,743.3242857142858,2,1.0,0.0,5,743.3242857142858,2295.0,6.61247680776582,7.738923757439457
cf6d4a2451,20,2700.0,1,1.0,0.0,1,2700.0,20.0,7.901377353792616,3.044522437723423
cf6ff3708f,2,14900.0,1,1.0,0.0,1,14900.0,2.0,9.60918360377546,1.0986122886681098
cf7049643a,1,3000.0,1,0.0,0.0,1,3000.0,1.0,8.006700845440367,0.6931471805599453
cf71500bdb,344,403.9362068965517,2,1.0,0.0,15,403.9362068965517,344.0,6.003729540864257,5.84354441703136
cf72c9e10c,1,54998.9,1,1.0,0.0,1,54998.9,1.0,10.915086646031137,0.6931471805599453
